Selection,,BERT,CB,GCB,JB,RBa,UC
Oracle,original # of neurons,9984,9984,9984,9984,9984,9984
,Baseline f1,0.723,0.805,0.805,0.807,0.815,0.828
LCA,# of neurons,169,9,9,808,469,69
,f1,0.715,0.799,0.809,0.814,0.820,0.821
,Diff.,-0.008,-0.006,0.004,0.007,0.005,-0.007
,Neuron reduction,98.31%,99.91%,99.91%,91.91%,95.30%,99.31%
Probeless,# of neurons,89,79,9,269,9,9
,f1,0.626,0.799,0.856,0.807,0.837,0.843
,Diff.,-0.097,-0.006,0.051,0.000,0.022,0.015
,Neuron reduction,99.11%,99.21%,99.91%,97.31%,99.91%,99.91%
CC,Clustering threshold,0.30,0.6,0.4,0.1,0.6,0.8
,# of neurons,3121,2264,6124,5364,1110,901
,f1,0.727,0.823,0.801,0.823,0.802,0.805
,Diff.,0.004,0.018,-0.004,0.016,-0.013,-0.023
,Neuron reduction,68.74%,77.32%,38.66%,46.27%,88.88%,90.98%
"Layerwise
(LS)",Layer Selection,0-12,0-11,0-11,0-12,0-12,0-12
,# of neurons,9984,9216,9216,9984,9984,9984
,f1,0.723,0.819,0.807,0.827,0.815,0.828
,Diff.,0.000,0.014,0.002,0.020,0.000,0.000
,Neuron reduction,0.00%,7.69%,7.69%,0.00%,0.00%,0.00%
LS+CC+LCA,Layer Selection,0-12,0-7,0-11,0-8,0-6,0-12
,Clustering threshold,0.1,0.4,NA,NA,NA,NA
,# of neurons,299,19,19,5990,9,99
,f1,0.714,0.798,0.814,0.829,0.835,0.831
,Diff.,-0.009,-0.007,0.009,0.022,0.020,0.003
,Neuron reduction,97.01%,99.81%,99.81%,40.00%,99.91%,99.01%
