Selection,,BERT,CB,GCB,JB,RBa,UC
Oracle,original # of neurons,9984,9984,9984,9984,9984,9984
,Baseline accuracy,50.17%,54.14%,46.52%,48.51%,49.17%,50.99%
LCA,# of neurons,718,569,429,509,539,599
,Accuracy,49.18%,51.82%,52.32%,48.18%,50.83%,50.33%
,Diff.,-0.99%,-2.32%,5.80%,-0.33%,1.66%,-0.66%
,Neuron reduction,92.81%,94.30%,95.70%,94.90%,94.60%,94.00%
Probeless,# of neurons,1497,698,519,908,319,678
,Accuracy,51.32%,51.32%,52.65%,48.18%,51.99%,51.49%
,Diff.,1.15%,-2.82%,6.13%,-0.33%,2.82%,0.50%
,Neuron reduction,85.01%,93.01%,94.80%,90.91%,96.80%,93.21%
CC,Clustering threshold,0.7,0.9,0.5,0.5,0.6,0.8
,# of neurons,768,768,1454,1513,768,768
,Accuracy,52.48%,55.46%,53.48%,48.34%,53.31%,52.32%
,Diff.,2.31%,1.32%,6.96%,-0.17%,4.14%,1.33%
,Neuron reduction,92.31%,92.31%,85.44%,84.85%,92.31%,92.31%
"Layerwise
(LS)",Layer Selection,0-1,0-1,0-1,0-1,0-1,0-1
,Performance layer delta,2,3,2,3,2,2
,# of neurons,1536,1536,1536,1536,1536,1536
,Accuracy,68.50%,66.80%,67.35%,67.65%,67.35%,66.65%
,Diff.,18.33%,12.66%,20.83%,19.14%,18.18%,15.66%
,Neuron reduction,84.62%,84.62%,84.62%,84.62%,84.62%,84.62%
LS+CC+LCA,Layer Selection,0-1,0-1,0-1,0-1,0-1,0-1
,Performance delta,2-1,3-1,1-1,2-1,2-1,2-1
,Clustering threshold,0.9,0.9,0.1,0.9,0.1,0.1
,# of neurons,399,399,399,299,499,499
,Accuracy,51.49%,53.81%,53.31%,50.50%,53.97%,52.32%
,Diff.,1.32%,-0.33%,6.79%,1.99%,4.80%,1.33%
,Neuron reduction,96.00%,96.00%,96.00%,97.01%,95.00%,95.00%
