Layer,Independent,Incremental,,,Layer,Independent,Incremental,,,Layer,Independent,Incremental,,
0,0.56552,0.56552,CodeBERT,,0,0.56552,0.56552,GraphCodeBERT,,0,0.56552,0.56552,UniXCoder,
1,0.571376,0.569546,,,1,0.568448,0.569912,,,1,0.56552,0.56552,,
2,0.57284,0.567716,,,2,0.562592,0.568814,,,2,0.56552,0.56552,,
3,0.575403,0.588946,,,3,0.581625,0.583089,,,3,0.56552,0.56552,,
4,0.582357,0.601757,,,4,0.584187,0.606515,,,4,0.56552,0.56552,,
5,0.617496,0.61713,,,5,0.606149,0.617862,,,5,0.56552,0.56552,,
6,0.614934,0.620425,,,6,0.618228,0.610908,,,6,0.56552,0.56552,,
7,0.626281,0.633602,,,7,0.614934,0.617862,,,7,0.56552,0.56552,,
8,0.619327,0.628477,,,8,0.608346,0.620425,,,8,0.580893,0.579063,,
9,0.631406,0.626647,,,9,0.594802,0.61713,,,9,0.590776,0.584919,,
10,0.641288,0.632504,,,10,0.593338,0.620059,,,10,0.605051,0.595534,,
11,0.650805,0.636896,,,11,0.625549,0.628843,,,11,0.647877,0.640556,,
12,0.651903,0.64019,,,12,0.637628,0.638726,,,12,0.657394,0.668009,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Layer,Independent,Incremental,,,Layer,Independent,Incremental,,,,Layer,Independent,Incremental,
0,0.56552,0.56552,BERT,,0,0.56552,0.56552,CodeGPTJava,,,0,0.56552,0.56552,CodeGPTJavaAdapted
1,0.570644,0.568448,,,1,0.552343,0.539165,,,,1,0.576867,0.573572,
